                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4595,                 3.2002,                 1.2398,                0.00838,                0.57594,                0.19552,                 0.1259,                 1.3158,                 3.2262,                 1.0736,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 1.3635,                 2.9362,                 1.1809,                0.01045,                0.71872,                0.37335,                0.24768,                 1.2096,                 3.1444,                 1.0217,              0.0001138,              0.0001138,              0.0001138
                      3,                 1.4754,                 2.4544,                 1.2209,                0.01134,                0.76417,                 0.3648,                0.21934,                 1.3516,                 3.0291,                 1.0616,             0.00017429,             0.00017429,             0.00017429
                      4,                  1.479,                 2.0073,                 1.1858,                0.90808,                0.24221,                0.39418,                0.25149,                    1.3,                 2.6632,                 1.0703,             0.00023148,             0.00023148,             0.00023148
                      5,                 1.3761,                 1.7942,                 1.1758,                0.37532,                0.27368,                0.36521,                0.24692,                 1.2609,                 2.5215,                 1.0735,             0.00028537,             0.00028537,             0.00028537
                      6,                 1.3565,                 1.7871,                 1.1483,                0.44723,                 0.3633,                0.37957,                0.24601,                 1.2682,                 2.4225,                  1.082,             0.00033596,             0.00033596,             0.00033596
                      7,                 1.2895,                   1.63,                 1.1038,                0.44617,                0.34167,                0.36281,                0.24285,                 1.3119,                  2.395,                 1.0723,             0.00038325,             0.00038325,             0.00038325
                      8,                 1.3145,                 1.7113,                  1.152,                0.37408,                0.24083,                0.36001,                0.23053,                 1.3322,                 2.4677,                 1.0904,             0.00042724,             0.00042724,             0.00042724
                      9,                 1.2662,                 1.6053,                 1.1388,                0.37217,                0.23826,                0.34725,                0.21737,                 1.4197,                 2.5628,                 1.1319,             0.00046793,             0.00046793,             0.00046793
                     10,                 1.3203,                 1.6299,                 1.1462,                0.36799,                0.25455,                0.33265,                0.21337,                 1.4249,                 2.5703,                  1.166,             0.00050531,             0.00050531,             0.00050531
                     11,                 1.2609,                 1.6209,                  1.149,                0.44351,                0.31857,                0.32368,                0.20683,                 1.3532,                 2.4836,                 1.1398,              0.0005394,              0.0005394,              0.0005394
