                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2279,                 1.4206,                 1.2408,                0.82716,                0.68614,                0.80245,                0.45761,                 1.3502,                 1.4891,                 1.3508,             0.00066288,             0.00066288,             0.00066288
                      2,                 1.3027,                 1.2122,                 1.2898,                0.79778,                0.68193,                0.77512,                0.44724,                 1.3286,                 1.2504,                 1.4365,              0.0012637,              0.0012637,              0.0012637
                      3,                 1.3313,                 1.1578,                 1.3109,                0.73675,                0.61368,                0.69738,                0.41359,                 1.3275,                 1.3595,                 1.4069,              0.0017986,              0.0017986,              0.0017986
                      4,                  1.308,                 1.0954,                 1.2957,                0.79314,                0.71142,                0.78657,                0.47023,                 1.3094,                 1.1654,                 1.3383,               0.001703,               0.001703,               0.001703
                      5,                  1.283,                 1.0331,                 1.2793,                0.84277,                0.75558,                0.84597,                0.51789,                 1.2737,                0.99825,                 1.3028,               0.001703,               0.001703,               0.001703
                      6,                 1.2447,                0.98533,                 1.2627,                0.87921,                0.74458,                 0.8677,                0.53977,                 1.2089,                0.97484,                 1.2866,               0.001604,               0.001604,               0.001604
                      7,                 1.2156,                0.95492,                 1.2492,                0.80279,                0.79036,                 0.8509,                0.55098,                  1.114,                0.90299,                 1.2109,               0.001505,               0.001505,               0.001505
                      8,                 1.1827,                0.90614,                 1.2261,                0.87605,                0.80602,                0.89145,                0.56529,                 1.1467,                0.80599,                 1.2212,               0.001406,               0.001406,               0.001406
                      9,                 1.1829,                0.88651,                 1.2197,                0.87409,                0.83253,                0.91656,                0.61216,                 1.0495,                0.71185,                 1.1656,               0.001307,               0.001307,               0.001307
                     10,                  1.151,                0.85886,                 1.2034,                0.83316,                0.83614,                0.89657,                0.59839,                 1.1008,                0.73901,                 1.1879,               0.001208,               0.001208,               0.001208
                     11,                 1.0583,                0.74087,                 1.1591,                0.91769,                0.82289,                0.91612,                0.61532,                  1.061,                0.69947,                 1.1872,               0.001109,               0.001109,               0.001109
                     12,                 1.0185,                0.69115,                 1.1317,                0.86917,                0.84041,                 0.9173,                0.60718,                  1.079,                0.69552,                 1.2104,                0.00101,                0.00101,                0.00101
                     13,                0.99023,                0.65703,                 1.1151,                0.88661,                0.85663,                0.92886,                0.63179,                 1.0462,                 0.6696,                  1.155,               0.000911,               0.000911,               0.000911
                     14,                0.96929,                0.63943,                 1.1141,                0.89244,                0.80968,                0.91571,                0.64101,                0.98917,                0.68557,                 1.1378,               0.000812,               0.000812,               0.000812
                     15,                0.95048,                0.62769,                 1.1008,                 0.9227,                0.85301,                 0.9386,                0.64951,                 1.0152,                0.60394,                 1.1416,               0.000713,               0.000713,               0.000713
                     16,                0.91611,                0.59188,                 1.0753,                0.90028,                0.85934,                0.93049,                 0.6581,                0.98266,                0.62238,                 1.1289,               0.000614,               0.000614,               0.000614
                     17,                0.89712,                 0.5795,                  1.069,                0.90746,                0.85063,                0.94166,                0.66933,                 0.9672,                0.59237,                 1.1187,               0.000515,               0.000515,               0.000515
                     18,                0.87001,                0.55024,                 1.0535,                0.90268,                0.86867,                0.94165,                0.67247,                0.95209,                0.57103,                 1.1023,               0.000416,               0.000416,               0.000416
                     19,                0.85164,                0.52742,                 1.0454,                0.89996,                0.86988,                0.94188,                0.68194,                0.92085,                0.55831,                 1.0894,               0.000317,               0.000317,               0.000317
                     20,                 0.8222,                0.50415,                 1.0237,                0.92595,                0.85876,                0.94538,                0.68896,                0.91795,                0.54985,                 1.0849,               0.000218,               0.000218,               0.000218
